Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER
Australian Shepherd,3.0,27.22,Grande,Sim,834.19
Dachshund,4.0,25.85,Grande,Sim,802.5
Chihuahua,12.0,30.39,Grande,Sim,906.04
Siberian Husky,13.0,15.88,Médio,Sim,556.85
Boxer,13.0,15.88,Médio,Não,556.85
Australian Shepherd,2.0,19.05,Médio,Sim,638.29
Labrador Retriever,8.0,22.68,Médio,Sim,727.5
Boxer,11.0,29.94,Grande,Não,895.96
Australian Shepherd,12.0,12.7,Médio,Não,470.92
Bulldog,11.0,22.23,Médio,Não,716.64
Rottweiler,2.0,29.03,Grande,Sim,875.45
Siberian Husky,7.0,9.07,Pequeno,Não,365.85
Boxer,5.0,14.97,Médio,Sim,532.74
German Shepherd,10.0,25.4,Grande,Sim,792.0
Golden Retriever,8.0,30.39,Grande,Sim,906.04
Poodle,13.0,21.77,Médio,Sim,705.49
Doberman,4.0,29.94,Grande,Sim,895.96
Boxer,2.0,20.87,Médio,Sim,683.5
Bulldog,11.0,39.46,Grande,Não,1102.09
Great Dane,11.0,19.96,Médio,Não,661.03
Poodle,7.0,20.87,Médio,Sim,683.5
Chihuahua,3.0,11.79,Médio,Sim,445.38
German Shepherd,11.0,17.24,Médio,Sim,592.24
Bulldog,9.0,29.48,Grande,Sim,885.61
Great Dane,6.0,29.48,Grande,Sim,885.61
Chihuahua,10.0,6.8,Pequeno,Não,294.77
Beagle,11.0,23.59,Médio,Sim,749.28
Poodle,13.0,14.51,Médio,Sim,520.41
Siberian Husky,13.0,11.79,Médio,Sim,445.38
Rottweiler,2.0,29.94,Grande,Sim,895.96
Poodle,13.0,22.68,Médio,Sim,727.5
German Shepherd,5.0,28.58,Grande,Sim,865.26
Rottweiler,13.0,19.5,Médio,Não,649.57
Australian Shepherd,10.0,31.3,Grande,Sim,926.31
Australian Shepherd,8.0,25.4,Grande,Sim,792.0
Bulldog,2.0,26.31,Grande,Sim,813.18
Siberian Husky,4.0,31.3,Grande,Não,926.31
Rottweiler,13.0,12.25,Médio,Sim,458.35
Golden Retriever,9.0,29.48,Grande,Não,885.61
Dachshund,10.0,23.13,Médio,Sim,738.29
Australian Shepherd,12.0,26.76,Grande,Sim,823.59
Poodle,9.0,14.06,Médio,Sim,508.26
Bulldog,12.0,14.97,Médio,Não,532.74
Great Dane,2.0,31.3,Grande,Sim,926.31
Yorkshire Terrier,2.0,20.41,Médio,Sim,672.17
Golden Retriever,4.0,29.03,Grande,Sim,875.45
Chihuahua,13.0,4.54,Pequeno,Não,217.72
Great Dane,12.0,18.6,Médio,Não,626.95
Rottweiler,7.0,21.77,Médio,Não,705.49
Poodle,9.0,27.67,Grande,Sim,844.51
Siberian Husky,8.0,22.23,Médio,Sim,716.64
Rottweiler,11.0,26.76,Grande,Não,823.59
German Shepherd,5.0,20.87,Médio,Não,683.5
Poodle,7.0,15.42,Médio,Sim,544.7
Boxer,12.0,20.41,Médio,Não,672.17
German Shepherd,4.0,11.79,Médio,Sim,445.38
Labrador Retriever,8.0,27.22,Grande,Sim,834.19
German Shepherd,2.0,34.93,Grande,Sim,1005.77
Labrador Retriever,6.0,28.12,Grande,Sim,854.79
Poodle,7.0,29.94,Grande,Sim,895.96
Doberman,8.0,19.05,Médio,Sim,638.29
Bulldog,12.0,28.12,Grande,Não,854.79
Golden Retriever,1.0,34.02,Grande,Não,986.05
Labrador Retriever,4.0,18.14,Médio,Sim,615.28
Australian Shepherd,8.0,28.58,Grande,Não,865.26
Beagle,13.0,18.6,Médio,Não,626.95
Yorkshire Terrier,11.0,28.58,Grande,Sim,865.26
Boxer,5.0,17.24,Médio,Sim,592.24
Labrador Retriever,10.0,23.59,Médio,Não,749.28
Golden Retriever,5.0,32.21,Grande,Sim,946.44
Beagle,9.0,13.61,Médio,Não,496.01
Golden Retriever,1.0,15.88,Médio,Não,556.85
Boxer,10.0,18.6,Médio,Sim,626.95
Doberman,9.0,23.13,Médio,Não,738.29
Dachshund,13.0,28.12,Grande,Não,854.79
Dachshund,10.0,24.95,Médio,Sim,781.45
Golden Retriever,9.0,22.68,Médio,Sim,727.5
Australian Shepherd,13.0,38.1,Grande,Não,1073.47
Yorkshire Terrier,13.0,6.35,Pequeno,Não,280.01
Beagle,6.0,25.4,Grande,Sim,792.0
Yorkshire Terrier,2.0,13.15,Médio,Sim,483.38
Bulldog,11.0,15.42,Médio,Sim,544.7
Boxer,9.0,25.85,Grande,Sim,802.5
Rottweiler,11.0,32.21,Grande,Sim,946.44
Yorkshire Terrier,12.0,33.11,Grande,Sim,966.2
Great Dane,7.0,25.85,Grande,Não,802.5
Dachshund,7.0,41.28,Grande,Sim,1139.99
Poodle,1.0,13.61,Médio,Sim,496.01
Dachshund,9.0,9.98,Pequeno,Não,393.05
Chihuahua,2.0,22.23,Médio,Sim,716.64
Australian Shepherd,12.0,19.5,Médio,Sim,649.57
Poodle,1.0,21.77,Médio,Não,705.49
Siberian Husky,4.0,24.49,Médio,Sim,770.62
Golden Retriever,2.0,19.5,Médio,Sim,649.57
Australian Shepherd,3.0,34.47,Grande,Sim,995.82
Australian Shepherd,7.0,24.04,Médio,Sim,759.97
