ID,Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy,Weight (kg)
1,Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,Unknown,Wellness,5.0,No,Yes,No,12.0,1.0,Active,1.0,30.0,Yes,Yes,27.22
3,Chihuahua,Small,Female,12.0,Neutered,Active,Home cooked,Special,1.0,Yes,No,No,10.0,1.0,Low,0.0,92.0,Yes,Yes,2.63
4,Siberian Husky,Medium,Male,13.0,Unknown,Very Active,Unknown,Special,4.0,No,No,No,12.0,2.0,Unknown,1.0,75.0,Yes,Yes,20.73
6,Australian Shepherd,Medium,Female,2.0,Unknown,Very Active,Wet food,Iams,0.0,Yes,No,No,11.0,3.0,Unknown,2.0,85.0,Yes,Yes,19.05
7,Labrador Retriever,Unknown,Male,8.0,Unknown,Unknown,Special diet,Blue Buffalo,2.0,No,No,No,8.0,1.0,Low,0.0,53.0,Yes,Yes,27.8
11,Rottweiler,Large,Male,2.0,Spayed,Very Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,11.0,2.0,Active,1.0,87.0,Yes,Yes,54.53
14,German Shepherd,Large,Female,10.0,Spayed,Unknown,Hard food,Royal Canin,3.0,Yes,No,No,10.0,2.0,Low,1.0,90.0,Yes,Yes,25.4
16,Poodle,Small,Male,13.0,Spayed,Very Active,Hard food,Wellness,3.0,No,No,Yes,8.0,2.0,Unknown,4.0,54.0,Yes,Yes,21.77
17,Doberman,Large,Male,4.0,Spayed,Very Active,Hard food,Royal Canin,2.0,No,No,No,11.0,1.0,Unknown,1.0,77.0,Yes,Yes,29.94
18,Boxer,Medium,Female,2.0,Spayed,Active,Special diet,Nutro,2.0,No,Yes,No,8.0,2.0,Moderate,1.0,48.0,Yes,Yes,30.05
21,Poodle,Small,Female,7.0,Neutered,Very Active,Unknown,Wellness,3.0,Yes,No,No,11.0,0.0,Active,2.0,70.0,Yes,Yes,20.87
22,Chihuahua,Small,Male,3.0,Unknown,Unknown,Special diet,Iams,3.0,No,Yes,No,12.0,1.0,Very Active,1.0,82.0,Yes,Yes,2.98
23,German Shepherd,Large,Female,11.0,Spayed,Very Active,Wet food,Purina,1.0,Yes,No,No,12.0,1.0,Moderate,1.0,100.0,Yes,Yes,26.84
24,Bulldog,Medium,Male,9.0,Neutered,Unknown,Special diet,Wellness,3.0,No,No,No,12.0,1.0,Very Active,1.0,74.0,Yes,Yes,22.55
25,Great Dane,Large,Male,6.0,Unknown,Low,Special diet,Blue Buffalo,1.0,Yes,Yes,No,8.0,2.0,Moderate,1.0,74.0,Yes,Yes,52.86
27,Beagle,Small,Male,11.0,Neutered,Active,Special diet,Nutro,4.0,Yes,Yes,No,11.0,1.0,Active,0.0,75.0,Yes,Yes,13.52
28,Poodle,Small,Female,13.0,Neutered,Moderate,Wet food,Pedigree,4.0,No,No,Unknown,13.0,2.0,Low,2.0,66.0,Yes,Yes,14.51
29,Siberian Husky,Medium,Female,13.0,Unknown,Very Active,Hard food,Hill's Science,5.0,No,No,No,10.0,1.0,Very Active,2.0,54.0,Yes,Yes,23.88
