Raca,Sexo,Idade,peso_kg,porte_animal,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,caminhada_diaria_km,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Visitas_Anuais_Veterinario,calorias_diarias_RER,Status_Saude
Australian Shepherd,Macho,3.0,27.22,Grande,Ativo,Úmida,Wellness,8.05,Sim,Não,12.0,1.0,1.0,834.19,Sim
Dachshund,Fêmea,4.0,25.85,Grande,Muito Ativo,Caseira,Special,3.22,Não,Não,11.0,3.0,0.0,802.5,Sim
Chihuahua,Fêmea,12.0,30.39,Grande,Ativo,Caseira,Special,1.61,Não,Não,10.0,1.0,0.0,906.04,Sim
Siberian Husky,Macho,13.0,15.88,Médio,Muito Ativo,Úmida,Special,6.44,Não,Não,12.0,2.0,1.0,556.85,Sim
Boxer,Macho,13.0,15.88,Médio,Muito Ativo,Úmida,Purina,4.83,Sim,Não,9.0,1.0,0.0,556.85,Não
Australian Shepherd,Fêmea,2.0,19.05,Médio,Muito Ativo,Úmida,Iams,0.0,Não,Não,11.0,3.0,2.0,638.29,Sim
Labrador Retriever,Macho,8.0,22.68,Médio,Ativo,Especial,Blue Buffalo,3.22,Não,Não,8.0,1.0,0.0,727.5,Sim
Boxer,Fêmea,11.0,29.94,Grande,Ativo,Caseira,Special,3.22,Sim,Sim,9.0,2.0,2.0,895.96,Não
Australian Shepherd,Macho,12.0,12.7,Médio,Moderado,Especial,Royal Canin,3.22,Sim,Não,11.0,2.0,0.0,470.92,Não
Bulldog,Fêmea,11.0,22.23,Médio,Ativo,Úmida,Wellness,4.83,Sim,Não,11.0,2.0,0.0,716.64,Não
Rottweiler,Macho,2.0,29.03,Grande,Muito Ativo,Ração Seca,Blue Buffalo,4.83,Sim,Não,11.0,2.0,1.0,875.45,Sim
Siberian Husky,Fêmea,7.0,9.07,Pequeno,Baixo,Ração Seca,Blue Buffalo,3.22,Sim,Não,13.0,3.0,1.0,365.85,Não
Boxer,Macho,5.0,14.97,Médio,Baixo,Especial,Wellness,3.22,Sim,Não,10.0,1.0,1.0,532.74,Sim
German Shepherd,Fêmea,10.0,25.4,Grande,Ativo,Ração Seca,Royal Canin,4.83,Não,Não,10.0,2.0,1.0,792.0,Sim
Golden Retriever,Macho,8.0,30.39,Grande,Baixo,Caseira,Special,3.22,Não,Não,10.0,0.0,0.0,906.04,Sim
Poodle,Macho,13.0,21.77,Médio,Muito Ativo,Ração Seca,Wellness,4.83,Não,Sim,8.0,2.0,4.0,705.49,Sim
Doberman,Macho,4.0,29.94,Grande,Muito Ativo,Ração Seca,Royal Canin,3.22,Não,Não,11.0,1.0,1.0,895.96,Sim
Boxer,Fêmea,2.0,20.87,Médio,Ativo,Especial,Nutro,3.22,Sim,Não,8.0,2.0,1.0,683.5,Sim
Bulldog,Fêmea,11.0,39.46,Grande,Baixo,Especial,Purina,4.83,Não,Não,13.0,2.0,0.0,1102.09,Não
Great Dane,Fêmea,11.0,19.96,Médio,Ativo,Ração Seca,Purina,6.44,Não,Não,10.0,1.0,0.0,661.03,Não
Poodle,Fêmea,7.0,20.87,Médio,Muito Ativo,Úmida,Wellness,4.83,Não,Não,11.0,0.0,2.0,683.5,Sim
Chihuahua,Macho,3.0,11.79,Médio,Ativo,Especial,Iams,4.83,Sim,Não,12.0,1.0,1.0,445.38,Sim
German Shepherd,Fêmea,11.0,17.24,Médio,Muito Ativo,Úmida,Purina,1.61,Não,Não,12.0,1.0,1.0,592.24,Sim
Bulldog,Macho,9.0,29.48,Grande,Ativo,Especial,Wellness,4.83,Não,Não,12.0,1.0,1.0,885.61,Sim
Great Dane,Macho,6.0,29.48,Grande,Baixo,Especial,Blue Buffalo,1.61,Sim,Não,8.0,2.0,1.0,885.61,Sim
Chihuahua,Macho,10.0,6.8,Pequeno,Moderado,Úmida,Wellness,4.83,Sim,Não,8.0,3.0,1.0,294.77,Não
Beagle,Macho,11.0,23.59,Médio,Ativo,Especial,Nutro,6.44,Sim,Não,11.0,1.0,0.0,749.28,Sim
Poodle,Fêmea,13.0,14.51,Médio,Moderado,Úmida,Pedigree,6.44,Não,Não,13.0,2.0,2.0,520.41,Sim
Siberian Husky,Fêmea,13.0,11.79,Médio,Muito Ativo,Ração Seca,Hill's Science,8.05,Não,Não,10.0,1.0,2.0,445.38,Sim
Rottweiler,Macho,2.0,29.94,Grande,Ativo,Caseira,Special,1.61,Sim,Não,14.0,1.0,1.0,895.96,Sim
Poodle,Macho,13.0,22.68,Médio,Moderado,Ração Seca,Iams,0.0,Não,Não,10.0,2.0,2.0,727.5,Sim
German Shepherd,Fêmea,5.0,28.58,Grande,Ativo,Especial,Nutro,6.44,Não,Não,10.0,2.0,0.0,865.26,Sim
Rottweiler,Fêmea,13.0,19.5,Médio,Ativo,Especial,Nutro,6.44,Sim,Não,11.0,1.0,3.0,649.57,Não
Australian Shepherd,Macho,10.0,31.3,Grande,Muito Ativo,Ração Seca,Wellness,1.61,Não,Não,10.0,3.0,4.0,926.31,Sim
Australian Shepherd,Macho,8.0,25.4,Grande,Baixo,Especial,Wellness,4.83,Não,Não,12.0,2.0,2.0,792.0,Sim
Bulldog,Macho,2.0,26.31,Grande,Ativo,Úmida,Wellness,3.22,Sim,Não,9.0,1.0,2.0,813.18,Sim
Siberian Husky,Fêmea,4.0,31.3,Grande,Ativo,Ração Seca,Purina,3.22,Não,Sim,11.0,0.0,1.0,926.31,Não
