Breed,Sex,Age,animalWeight_kg,animalSize,Daily Activity Level,Diet,Food Brand,daily_walk_km,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,RER_kcal,Healthy
Australian Shepherd,Male,3.0,27.22,Large,Active,Wet food,Wellness,8.05,Yes,No,12.0,1.0,Active,1.0,834.19,Yes
Dachshund,Female,4.0,25.85,Large,Very Active,Home cooked,Special,3.22,No,No,11.0,3.0,Very Active,0.0,802.5,Yes
Chihuahua,Female,12.0,30.39,Large,Active,Home cooked,Special,1.61,No,No,10.0,1.0,Low,0.0,906.04,Yes
Siberian Husky,Male,13.0,15.88,Medium,Very Active,Wet food,Special,6.44,No,No,12.0,2.0,Very Active,1.0,556.85,Yes
Boxer,Male,13.0,15.88,Medium,Very Active,Wet food,Purina,4.83,Yes,No,9.0,1.0,Very Active,0.0,556.85,No
Australian Shepherd,Female,2.0,19.05,Medium,Very Active,Wet food,Iams,0.0,No,No,11.0,3.0,Very Active,2.0,638.29,Yes
Labrador Retriever,Male,8.0,22.68,Medium,Active,Special diet,Blue Buffalo,3.22,No,No,8.0,1.0,Low,0.0,727.5,Yes
Boxer,Female,11.0,29.94,Large,Active,Home cooked,Special,3.22,Yes,Yes,9.0,2.0,Low,2.0,895.96,No
Australian Shepherd,Male,12.0,12.7,Medium,Moderate,Special diet,Royal Canin,3.22,Yes,No,11.0,2.0,Moderate,0.0,470.92,No
Bulldog,Female,11.0,22.23,Medium,Active,Wet food,Wellness,4.83,Yes,No,11.0,2.0,Very Active,0.0,716.64,No
Rottweiler,Male,2.0,29.03,Large,Very Active,Hard food,Blue Buffalo,4.83,Yes,No,11.0,2.0,Active,1.0,875.45,Yes
Siberian Husky,Female,7.0,9.07,Small,Low,Hard food,Blue Buffalo,3.22,Yes,No,13.0,3.0,Active,1.0,365.85,No
Boxer,Male,5.0,14.97,Medium,Low,Special diet,Wellness,3.22,Yes,No,10.0,1.0,Very Active,1.0,532.74,Yes
German Shepherd,Female,10.0,25.4,Large,Active,Hard food,Royal Canin,4.83,No,No,10.0,2.0,Low,1.0,792.0,Yes
Golden Retriever,Male,8.0,30.39,Large,Low,Home cooked,Special,3.22,No,No,10.0,0.0,Moderate,0.0,906.04,Yes
Poodle,Male,13.0,21.77,Medium,Very Active,Hard food,Wellness,4.83,No,Yes,8.0,2.0,Very Active,4.0,705.49,Yes
Doberman,Male,4.0,29.94,Large,Very Active,Hard food,Royal Canin,3.22,No,No,11.0,1.0,Very Active,1.0,895.96,Yes
