Raca,Idade,peso_kg,porte_animal,Status_Saude,calorias_diarias_RER,Sugestao_Otimizada
Australian Shepherd,3.0,27.22,Grande,Sim,834.19,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Dachshund,4.0,25.85,Grande,Sim,802.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,12.0,30.39,Grande,Sim,906.04,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,13.0,15.88,Médio,Sim,556.85,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,13.0,15.88,Médio,Não,556.85,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Australian Shepherd,2.0,19.05,Médio,Sim,638.29,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Labrador Retriever,8.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,11.0,29.94,Grande,Não,895.96,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Australian Shepherd,12.0,12.7,Médio,Não,470.92,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Bulldog,11.0,22.23,Médio,Não,716.64,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Rottweiler,2.0,29.03,Grande,Sim,875.45,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,7.0,9.07,Pequeno,Não,365.85,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Boxer,5.0,14.97,Médio,Sim,532.74,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,10.0,25.4,Grande,Sim,792.0,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,8.0,30.39,Grande,Sim,906.04,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,13.0,21.77,Médio,Sim,705.49,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Doberman,4.0,29.94,Grande,Sim,895.96,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Boxer,2.0,20.87,Médio,Sim,683.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,11.0,39.46,Grande,Não,1102.09,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Great Dane,11.0,19.96,Médio,Não,661.03,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Poodle,7.0,20.87,Médio,Sim,683.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,3.0,11.79,Médio,Sim,445.38,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,11.0,17.24,Médio,Sim,592.24,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,9.0,29.48,Grande,Sim,885.61,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Great Dane,6.0,29.48,Grande,Sim,885.61,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Chihuahua,10.0,6.8,Pequeno,Não,294.77,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Beagle,11.0,23.59,Médio,Sim,749.28,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,13.0,14.51,Médio,Sim,520.41,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,13.0,11.79,Médio,Sim,445.38,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,2.0,29.94,Grande,Sim,895.96,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,13.0,22.68,Médio,Sim,727.5,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
German Shepherd,5.0,28.58,Grande,Sim,865.26,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Rottweiler,13.0,19.5,Médio,Não,649.57,"Royal Canin® Weight Care Medium Breed Dry Dog Food, Royal Canin® Digestive Care Medium Breed Dry Dog Food"
Australian Shepherd,10.0,31.3,Grande,Sim,926.31,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,8.0,25.4,Grande,Sim,792.0,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Bulldog,2.0,26.31,Grande,Sim,813.18,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Siberian Husky,4.0,31.3,Grande,Não,926.31,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Rottweiler,13.0,12.25,Médio,Sim,458.35,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Golden Retriever,9.0,29.48,Grande,Não,885.61,"Blue Buffalo® Life Protection Formula™ Adult Weight Control Dry Dog Food - Natural, Chicken, Authority® Everyday Weight Management Adult Dry Dog Food - Chicken"
Dachshund,10.0,23.13,Médio,Sim,738.29,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Australian Shepherd,12.0,26.76,Grande,Sim,823.59,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
Poodle,9.0,14.06,Médio,Sim,508.26,"Royal Canin® Breed Health Nutrition® Golden Retriever Puppy Dry Dog Food, Royal Canin® Breed Health Nutrition® German Shepherd Adult Dry Dog Food"
