Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Other Pets in Household,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F)
Australian Shepherd,Medium,Male,3.0,60.0,Neutered,Active,5.0,No,No,12.0,1.0,Active,1.0,30.0
Siberian Husky,Medium,Male,13.0,35.0,Spayed,Very Active,4.0,No,No,12.0,2.0,Very Active,1.0,75.0
Australian Shepherd,Medium,Female,2.0,42.0,Spayed,Very Active,0.0,Yes,No,11.0,3.0,Very Active,2.0,85.0
Boxer,Medium,Female,2.0,51.5,Spayed,Active,2.0,No,No,8.0,2.0,Moderate,1.0,48.0
Bulldog,Medium,Male,9.0,46.4,Neutered,Active,3.0,No,No,12.0,1.0,Very Active,1.0,74.0
Siberian Husky,Medium,Female,13.0,59.2,Spayed,Very Active,5.0,No,No,10.0,1.0,Very Active,2.0,54.0
Australian Shepherd,Medium,Male,10.0,53.2,Spayed,Very Active,1.0,No,No,10.0,3.0,Very Active,4.0,52.0
Australian Shepherd,Medium,Male,8.0,56.0,Spayed,Low,3.0,No,No,12.0,2.0,Low,2.0,82.0
Bulldog,Medium,Male,2.0,45.5,Neutered,Active,2.0,No,No,9.0,1.0,Active,2.0,70.0
Siberian Husky,Medium,Female,8.0,49.0,Neutered,Active,3.0,No,No,13.0,2.0,Low,1.0,80.0
Boxer,Medium,Male,5.0,59.4,Neutered,Active,2.0,Yes,No,12.0,3.0,Active,3.0,35.0
Boxer,Medium,Male,10.0,52.4,Spayed,Very Active,5.0,Yes,No,11.0,3.0,Active,2.0,78.0
Bulldog,Medium,Male,11.0,44.1,Spayed,Moderate,2.0,No,Yes,9.0,3.0,Low,3.0,66.0
Boxer,Medium,Male,9.0,57.0,Spayed,Very Active,3.0,No,No,12.0,1.0,Moderate,1.0,53.0
Australian Shepherd,Medium,Female,12.0,43.0,Spayed,Very Active,2.0,No,No,10.0,2.0,Active,1.0,92.0
Australian Shepherd,Medium,Male,3.0,56.6,Neutered,Active,3.0,Yes,No,8.0,3.0,Active,2.0,76.0
Australian Shepherd,Medium,Female,6.0,53.0,Neutered,Moderate,5.0,Yes,No,14.0,0.0,Active,3.0,58.0
Australian Shepherd,Medium,Female,4.0,56.0,Neutered,Active,3.0,Yes,No,9.0,0.0,Very Active,1.0,36.0
Siberian Husky,Medium,Male,3.0,56.6,Spayed,Active,2.0,Yes,No,10.0,2.0,Low,1.0,65.0
Boxer,Medium,Male,5.0,68.6,Spayed,Moderate,4.0,No,No,12.0,2.0,Very Active,2.0,50.0
Australian Shepherd,Medium,Male,7.0,50.0,Spayed,Active,5.0,No,No,11.0,2.0,Low,0.0,53.0
Bulldog,Medium,Female,8.0,43.6,Neutered,Moderate,2.0,Yes,No,9.0,1.0,Very Active,2.0,77.0
Siberian Husky,Medium,Male,7.0,39.0,Spayed,Very Active,3.0,No,No,12.0,1.0,Very Active,2.0,60.0
Siberian Husky,Medium,Male,1.0,61.0,Neutered,Active,1.0,No,No,12.0,2.0,Moderate,1.0,69.0
