Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,5.0,12.0,1.0,1.0,27.22
Chihuahua,Small,Female,12.0,Neutered,Active,1.0,10.0,1.0,0.0,1.7
Siberian Husky,Medium,Male,13.0,Unknown,Very Active,4.0,12.0,2.0,1.0,18.9
Australian Shepherd,Medium,Female,2.0,Unknown,Very Active,0.0,11.0,3.0,2.0,19.05
Labrador Retriever,Unknown,Male,8.0,Unknown,Unknown,2.0,8.0,1.0,0.0,35.34
Rottweiler,Large,Male,2.0,Spayed,Very Active,3.0,11.0,2.0,1.0,53.47
German Shepherd,Large,Female,10.0,Spayed,Unknown,3.0,10.0,2.0,1.0,25.4
Poodle,Small,Male,13.0,Spayed,Very Active,3.0,8.0,2.0,4.0,21.77
Doberman,Large,Male,4.0,Spayed,Very Active,2.0,11.0,1.0,1.0,29.94
Boxer,Medium,Female,2.0,Spayed,Active,2.0,8.0,2.0,1.0,28.09
Poodle,Small,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,2.0,20.87
Chihuahua,Small,Male,3.0,Unknown,Unknown,3.0,12.0,1.0,1.0,2.71
German Shepherd,Large,Female,11.0,Spayed,Very Active,1.0,12.0,1.0,1.0,29.99
Bulldog,Medium,Male,9.0,Neutered,Unknown,3.0,12.0,1.0,1.0,22.44
Great Dane,Large,Male,6.0,Unknown,Low,1.0,8.0,2.0,1.0,68.3
Beagle,Small,Male,11.0,Neutered,Active,4.0,11.0,1.0,0.0,15.99
Poodle,Small,Female,13.0,Neutered,Moderate,4.0,13.0,2.0,2.0,14.51
Siberian Husky,Medium,Female,13.0,Unknown,Very Active,5.0,10.0,1.0,2.0,25.59
Rottweiler,Large,Male,2.0,Neutered,Active,1.0,14.0,1.0,1.0,50.92
Poodle,Small,Male,13.0,Neutered,Moderate,0.0,10.0,2.0,2.0,22.68
German Shepherd,Large,Female,5.0,Neutered,Unknown,4.0,10.0,2.0,0.0,28.58
Australian Shepherd,Medium,Male,10.0,Spayed,Very Active,1.0,10.0,3.0,4.0,31.3
Australian Shepherd,Medium,Male,8.0,Unknown,Low,3.0,12.0,2.0,2.0,25.4
Bulldog,Medium,Male,2.0,Neutered,Active,2.0,9.0,1.0,2.0,24.28
Rottweiler,Large,Female,13.0,Neutered,Very Active,0.0,13.0,1.0,2.0,53.29
Dachshund,Small,Male,10.0,Neutered,Low,3.0,12.0,2.0,2.0,8.76
Australian Shepherd,Unknown,Female,12.0,Neutered,Unknown,6.0,10.0,2.0,1.0,26.76
Poodle,Small,Female,9.0,Neutered,Low,4.0,13.0,2.0,0.0,14.06
Great Dane,Large,Male,2.0,Unknown,Unknown,1.0,11.0,0.0,1.0,79.83
Yorkshire Terrier,Small,Female,2.0,Neutered,Low,3.0,9.0,1.0,0.0,3.52
Golden Retriever,Large,Male,4.0,Unknown,Active,5.0,12.0,2.0,2.0,29.03
Poodle,Small,Female,9.0,Unknown,Active,1.0,10.0,2.0,0.0,27.67
Siberian Husky,Medium,Female,8.0,Neutered,Active,3.0,13.0,2.0,1.0,22.23
Poodle,Small,Female,7.0,Unknown,Unknown,1.0,12.0,1.0,1.0,15.42
Labrador Retriever,Large,Female,8.0,Spayed,Unknown,3.0,11.0,2.0,1.0,27.22
German Shepherd,Large,Female,2.0,Spayed,Moderate,2.0,11.0,1.0,4.0,34.93
Labrador Retriever,Large,Female,6.0,Spayed,Low,2.0,10.0,1.0,2.0,28.12
Poodle,Small,Male,7.0,Neutered,Unknown,2.0,10.0,2.0,3.0,29.94
Doberman,Large,Male,8.0,Neutered,Low,3.0,12.0,2.0,3.0,37.99
Labrador Retriever,Large,Female,4.0,Neutered,Very Active,3.0,13.0,0.0,2.0,31.12
Yorkshire Terrier,Small,Male,11.0,Spayed,Low,3.0,12.0,1.0,0.0,3.42
Boxer,Medium,Male,5.0,Neutered,Active,2.0,12.0,3.0,3.0,31.99
Golden Retriever,Large,Female,5.0,Spayed,Moderate,2.0,10.0,2.0,1.0,32.21
Boxer,Medium,Unknown,10.0,Unknown,Very Active,5.0,11.0,3.0,2.0,30.34
Dachshund,Small,Female,10.0,Spayed,Moderate,1.0,12.0,2.0,4.0,4.92
Golden Retriever,Large,Female,9.0,Neutered,Unknown,2.0,11.0,1.0,1.0,33.72
Beagle,Small,Female,6.0,Spayed,Moderate,3.0,12.0,2.0,0.0,14.81
Yorkshire Terrier,Small,Unknown,2.0,Spayed,Unknown,1.0,10.0,3.0,3.0,3.43
Bulldog,Medium,Male,11.0,Spayed,Moderate,2.0,9.0,3.0,3.0,21.74
Boxer,Medium,Male,9.0,Unknown,Very Active,3.0,12.0,1.0,1.0,25.85
Rottweiler,Large,Male,11.0,Neutered,Very Active,5.0,14.0,1.0,1.0,40.05
Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,2.0,10.0,2.0,0.0,4.89
Dachshund,Unknown,Male,7.0,Spayed,Very Active,2.0,11.0,0.0,1.0,7.52
Poodle,Small,Male,1.0,Unknown,Active,3.0,11.0,2.0,2.0,13.61
Australian Shepherd,Medium,Female,12.0,Unknown,Very Active,2.0,10.0,2.0,1.0,19.5
Golden Retriever,Large,Male,2.0,Unknown,Low,2.0,14.0,0.0,1.0,31.95
Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,3.0,8.0,3.0,2.0,22.55
Australian Shepherd,Medium,Female,6.0,Neutered,Moderate,5.0,14.0,0.0,3.0,24.04
Rottweiler,Large,Female,3.0,Neutered,Unknown,4.0,10.0,1.0,0.0,48.91
German Shepherd,Large,Female,10.0,Neutered,Very Active,3.0,11.0,2.0,2.0,36.88
Australian Shepherd,Medium,Female,4.0,Neutered,Active,3.0,9.0,0.0,1.0,25.4
Chihuahua,Small,Female,9.0,Neutered,Low,0.0,13.0,3.0,1.0,1.79
Siberian Husky,Medium,Male,3.0,Spayed,Unknown,2.0,10.0,2.0,1.0,25.5
Poodle,Small,Male,5.0,Spayed,Low,4.0,10.0,1.0,1.0,14.97
Boxer,Medium,Male,5.0,Unknown,Moderate,4.0,12.0,2.0,2.0,34.42
Yorkshire Terrier,Small,Male,12.0,Unknown,Low,2.0,11.0,4.0,1.0,4.28
Doberman,Large,Male,10.0,Unknown,Very Active,3.0,11.0,3.0,1.0,28.36
Unknown,Medium,Male,7.0,Unknown,Active,5.0,11.0,2.0,0.0,22.68
Labrador Retriever,Large,Male,2.0,Neutered,Active,0.0,10.0,1.0,1.0,25.85
Bulldog,Medium,Female,8.0,Neutered,Moderate,2.0,9.0,1.0,2.0,22.99
Siberian Husky,Medium,Male,7.0,Spayed,Very Active,3.0,12.0,1.0,2.0,17.69
Chihuahua,Small,Female,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,2.4
Siberian Husky,Medium,Male,1.0,Neutered,Active,1.0,12.0,2.0,1.0,22.62
Australian Shepherd,Medium,Male,5.0,Neutered,Unknown,5.0,12.0,0.0,4.0,19.5
Doberman,Large,Female,9.0,Spayed,Unknown,2.0,13.0,0.0,1.0,34.03
Bulldog,Medium,Female,9.0,Spayed,Very Active,3.0,13.0,1.0,2.0,20.42
Great Dane,Large,Female,11.0,Spayed,Active,1.0,12.0,1.0,2.0,48.09
Poodle,Small,Male,8.0,Neutered,Active,1.0,13.0,2.0,0.0,29.94
Beagle,Small,Male,6.0,Spayed,Low,2.0,9.0,2.0,1.0,9.28
Doberman,Unknown,Male,7.0,Neutered,Low,2.0,10.0,2.0,4.0,34.98
Labrador Retriever,Large,Female,13.0,Neutered,Unknown,2.0,10.0,2.0,1.0,30.38
Yorkshire Terrier,Small,Female,1.0,Unknown,Very Active,3.0,11.0,0.0,1.0,2.34
Beagle,Small,Male,6.0,Neutered,Moderate,2.0,14.0,1.0,0.0,13.15
Yorkshire Terrier,Small,Female,10.0,Spayed,Unknown,4.0,13.0,3.0,3.0,2.11
Siberian Husky,Medium,Unknown,8.0,Unknown,Active,2.0,11.0,1.0,2.0,26.31
Boxer,Medium,Male,4.0,Neutered,Moderate,4.0,12.0,3.0,2.0,28.58
Siberian Husky,Medium,Male,4.0,Neutered,Low,3.0,12.0,0.0,1.0,16.33
Labrador Retriever,Large,Male,4.0,Spayed,Active,3.0,9.0,2.0,1.0,31.38
Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,2.0,11.0,2.0,3.0,3.08
Unknown,Large,Female,6.0,Neutered,Moderate,1.0,9.0,1.0,0.0,22.68
Siberian Husky,Medium,Male,4.0,Unknown,Moderate,1.0,10.0,2.0,0.0,18.97
Chihuahua,Small,Male,4.0,Spayed,Active,0.0,12.0,1.0,0.0,3.44
Poodle,Small,Female,3.0,Neutered,Very Active,2.0,12.0,1.0,1.0,23.13
Labrador Retriever,Large,Male,4.0,Spayed,Active,2.0,13.0,1.0,1.0,29.82
German Shepherd,Large,Female,10.0,Unknown,Active,4.0,9.0,3.0,0.0,22.68
Beagle,Small,Male,4.0,Neutered,Unknown,3.0,11.0,2.0,1.0,15.38
Chihuahua,Small,Male,11.0,Unknown,Active,3.0,10.0,2.0,0.0,2.56
Siberian Husky,Medium,Male,8.0,Neutered,Moderate,2.0,12.0,2.0,0.0,18.6
Dachshund,Small,Male,2.0,Unknown,Unknown,0.0,13.0,0.0,1.0,6.37
Labrador Retriever,Large,Female,4.0,Spayed,Unknown,6.0,10.0,0.0,1.0,32.21
Doberman,Large,Female,3.0,Neutered,Low,3.0,14.0,0.0,2.0,35.8
Yorkshire Terrier,Small,Male,3.0,Neutered,Unknown,1.0,10.0,0.0,3.0,3.95
Rottweiler,Large,Male,10.0,Neutered,Active,0.0,10.0,0.0,2.0,37.56
Great Dane,Large,Male,3.0,Neutered,Low,5.0,9.0,2.0,2.0,68.53
Yorkshire Terrier,Small,Female,4.0,Neutered,Unknown,7.0,8.0,0.0,2.0,4.31
Doberman,Large,Male,9.0,Unknown,Active,1.0,11.0,2.0,3.0,34.24
Siberian Husky,Medium,Male,4.0,Neutered,Very Active,3.0,13.0,2.0,2.0,23.33
Labrador Retriever,Large,Female,6.0,Spayed,Active,1.0,10.0,1.0,4.0,35.33
Beagle,Small,Male,11.0,Spayed,Low,1.0,11.0,3.0,3.0,10.34
Yorkshire Terrier,Small,Male,8.0,Spayed,Unknown,2.0,11.0,2.0,3.0,4.85
Siberian Husky,Medium,Female,7.0,Neutered,Active,0.0,12.0,1.0,3.0,23.25
Golden Retriever,Large,Female,10.0,Spayed,Low,1.0,12.0,1.0,1.0,26.76
Dachshund,Small,Female,4.0,Spayed,Very Active,3.0,13.0,3.0,2.0,7.51
Siberian Husky,Medium,Male,2.0,Unknown,Active,2.0,10.0,3.0,0.0,22.0
Poodle,Small,Unknown,5.0,Spayed,Very Active,2.0,12.0,2.0,2.0,14.97
Labrador Retriever,Large,Female,13.0,Spayed,Moderate,2.0,12.0,2.0,0.0,26.31
German Shepherd,Large,Female,12.0,Unknown,Low,3.0,10.0,0.0,2.0,22.44
Labrador Retriever,Unknown,Female,2.0,Unknown,Moderate,2.0,10.0,3.0,3.0,26.35
Boxer,Medium,Male,6.0,Unknown,Active,0.0,9.0,3.0,2.0,28.58
Doberman,Large,Male,2.0,Spayed,Active,2.0,10.0,1.0,0.0,44.99
Boxer,Medium,Female,6.0,Spayed,Unknown,2.0,11.0,1.0,4.0,30.39
Labrador Retriever,Large,Male,7.0,Spayed,Very Active,1.0,11.0,1.0,2.0,27.67
Doberman,Large,Female,2.0,Neutered,Unknown,2.0,11.0,3.0,3.0,30.32
Australian Shepherd,Medium,Male,1.0,Spayed,Very Active,3.0,11.0,1.0,2.0,19.5
German Shepherd,Large,Female,6.0,Spayed,Low,4.0,11.0,2.0,2.0,31.3
Chihuahua,Small,Female,2.0,Spayed,Active,3.0,13.0,0.0,2.0,3.13
Australian Shepherd,Medium,Male,7.0,Spayed,Active,1.0,12.0,4.0,1.0,26.44
Bulldog,Medium,Male,6.0,Neutered,Active,2.0,10.0,1.0,4.0,21.74
Siberian Husky,Medium,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,0.0,16.7
Australian Shepherd,Medium,Male,2.0,Unknown,Moderate,4.0,12.0,1.0,1.0,19.96
Rottweiler,Large,Female,5.0,Unknown,Very Active,3.0,13.0,3.0,2.0,49.76
Doberman,Large,Male,11.0,Unknown,Very Active,3.0,11.0,2.0,4.0,33.11
Siberian Husky,Medium,Female,6.0,Spayed,Low,4.0,12.0,2.0,2.0,20.03
Rottweiler,Large,Female,3.0,Spayed,Unknown,3.0,11.0,1.0,1.0,52.1
Beagle,Small,Male,8.0,Neutered,Unknown,3.0,11.0,0.0,2.0,9.99
Siberian Husky,Medium,Male,13.0,Spayed,Very Active,1.0,14.0,2.0,4.0,17.24
Chihuahua,Small,Male,8.0,Spayed,Low,3.0,9.0,3.0,2.0,1.69
Doberman,Large,Female,8.0,Spayed,Low,1.0,10.0,2.0,2.0,36.29
Australian Shepherd,Medium,Female,11.0,Unknown,Very Active,2.0,10.0,3.0,2.0,27.67
Great Dane,Large,Female,4.0,Unknown,Low,0.0,11.0,2.0,2.0,51.99
Bulldog,Medium,Female,12.0,Neutered,Moderate,2.0,12.0,2.0,3.0,20.41
Rottweiler,Large,Male,6.0,Neutered,Unknown,1.0,12.0,2.0,1.0,39.87
Siberian Husky,Medium,Female,5.0,Spayed,Unknown,1.0,11.0,2.0,2.0,19.05
Boxer,Medium,Female,7.0,Spayed,Moderate,2.0,10.0,2.0,1.0,27.98
German Shepherd,Large,Female,5.0,Unknown,Unknown,3.0,10.0,1.0,3.0,39.19
Beagle,Small,Male,3.0,Unknown,Moderate,1.0,9.0,1.0,3.0,10.63
Great Dane,Large,Male,9.0,Neutered,Moderate,5.0,13.0,2.0,2.0,63.02
