Breed,Breed Size,Sex,Age,Weight (lbs),Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits
Australian Shepherd,Medium,Male,3.0,60.0,Active,5.0,12.0,1.0,1.0
Siberian Husky,Medium,Male,13.0,35.0,Very Active,4.0,12.0,2.0,1.0
Australian Shepherd,Medium,Female,2.0,42.0,Very Active,0.0,11.0,3.0,2.0
Boxer,Medium,Female,2.0,46.0,Active,2.0,8.0,2.0,1.0
Bulldog,Medium,Male,9.0,65.0,Active,3.0,12.0,1.0,1.0
Siberian Husky,Medium,Female,13.0,26.0,Very Active,5.0,10.0,1.0,2.0
Australian Shepherd,Medium,Male,10.0,69.0,Very Active,1.0,10.0,3.0,4.0
Australian Shepherd,Medium,Male,8.0,56.0,Low,3.0,12.0,2.0,2.0
Bulldog,Medium,Male,2.0,58.0,Active,2.0,9.0,1.0,2.0
Siberian Husky,Medium,Female,8.0,49.0,Active,3.0,13.0,2.0,1.0
Boxer,Medium,Male,5.0,38.0,Active,2.0,12.0,3.0,3.0
Boxer,Medium,Male,10.0,41.0,Very Active,5.0,11.0,3.0,2.0
Bulldog,Medium,Male,11.0,34.0,Moderate,2.0,9.0,3.0,3.0
Boxer,Medium,Male,9.0,57.0,Very Active,3.0,12.0,1.0,1.0
Australian Shepherd,Medium,Female,12.0,43.0,Very Active,2.0,10.0,2.0,1.0
Australian Shepherd,Medium,Male,3.0,76.0,Active,3.0,8.0,3.0,2.0
Australian Shepherd,Medium,Female,6.0,53.0,Moderate,5.0,14.0,0.0,3.0
Australian Shepherd,Medium,Female,4.0,56.0,Active,3.0,9.0,0.0,1.0
Siberian Husky,Medium,Male,3.0,33.0,Active,2.0,10.0,2.0,1.0
Boxer,Medium,Male,5.0,38.0,Moderate,4.0,12.0,2.0,2.0
Australian Shepherd,Medium,Male,7.0,50.0,Active,5.0,11.0,2.0,0.0
Bulldog,Medium,Female,8.0,38.0,Moderate,2.0,9.0,1.0,2.0
Siberian Husky,Medium,Male,7.0,39.0,Very Active,3.0,12.0,1.0,2.0
Siberian Husky,Medium,Male,1.0,61.0,Active,1.0,12.0,2.0,1.0
Australian Shepherd,Medium,Male,5.0,43.0,Active,5.0,12.0,0.0,4.0
Bulldog,Medium,Female,9.0,25.0,Very Active,3.0,13.0,1.0,2.0
Siberian Husky,Medium,Male,8.0,58.0,Active,2.0,11.0,1.0,2.0
Boxer,Medium,Male,4.0,63.0,Moderate,4.0,12.0,3.0,2.0
Siberian Husky,Medium,Male,4.0,36.0,Low,3.0,12.0,0.0,1.0
Siberian Husky,Medium,Male,4.0,27.0,Moderate,1.0,10.0,2.0,0.0
Siberian Husky,Medium,Male,8.0,41.0,Moderate,2.0,12.0,2.0,0.0
