Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg),Life Stage
Australian Shepherd,Medium,Male,3.0,Neutered,Unknown,5.0,12.0,1.0,1.0,27.22,Young Adult
Chihuahua,Small,Female,12.0,Neutered,Active,1.0,10.0,1.0,0.0,1.7,Senior
Siberian Husky,Medium,Male,13.0,Unknown,Very Active,4.0,12.0,2.0,1.0,18.9,Senior
Australian Shepherd,Medium,Female,2.0,Unknown,Very Active,0.0,11.0,3.0,2.0,19.05,Young Adult
Labrador Retriever,Unknown,Male,8.0,Unknown,Unknown,2.0,8.0,1.0,0.0,35.34,Senior
Rottweiler,Large,Male,2.0,Spayed,Very Active,3.0,11.0,2.0,1.0,53.47,Young Adult
German Shepherd,Large,Female,10.0,Spayed,Unknown,3.0,10.0,2.0,1.0,25.4,Senior
Poodle,Small,Male,13.0,Spayed,Very Active,3.0,8.0,2.0,4.0,21.77,Senior
Doberman,Large,Male,4.0,Spayed,Very Active,2.0,11.0,1.0,1.0,29.94,Young Adult
Boxer,Medium,Female,2.0,Spayed,Active,2.0,8.0,2.0,1.0,28.09,Young Adult
Poodle,Small,Female,7.0,Neutered,Very Active,3.0,11.0,0.0,2.0,20.87,Adult
Chihuahua,Small,Male,3.0,Unknown,Unknown,3.0,12.0,1.0,1.0,2.71,Young Adult
German Shepherd,Large,Female,11.0,Spayed,Very Active,1.0,12.0,1.0,1.0,29.99,Senior
Bulldog,Medium,Male,9.0,Neutered,Unknown,3.0,12.0,1.0,1.0,22.44,Senior
Great Dane,Large,Male,6.0,Unknown,Low,1.0,8.0,2.0,1.0,68.3,Adult
Beagle,Small,Male,11.0,Neutered,Active,4.0,11.0,1.0,0.0,15.99,Senior
Poodle,Small,Female,13.0,Neutered,Moderate,4.0,13.0,2.0,2.0,14.51,Senior
Siberian Husky,Medium,Female,13.0,Unknown,Very Active,5.0,10.0,1.0,2.0,25.59,Senior
Rottweiler,Large,Male,2.0,Neutered,Active,1.0,14.0,1.0,1.0,50.92,Young Adult
Poodle,Small,Male,13.0,Neutered,Moderate,0.0,10.0,2.0,2.0,22.68,Senior
German Shepherd,Large,Female,5.0,Neutered,Unknown,4.0,10.0,2.0,0.0,28.58,Adult
Australian Shepherd,Medium,Male,10.0,Spayed,Very Active,1.0,10.0,3.0,4.0,31.3,Senior
Australian Shepherd,Medium,Male,8.0,Unknown,Low,3.0,12.0,2.0,2.0,25.4,Senior
Bulldog,Medium,Male,2.0,Neutered,Active,2.0,9.0,1.0,2.0,24.28,Young Adult
Rottweiler,Large,Female,13.0,Neutered,Very Active,0.0,13.0,1.0,2.0,53.29,Senior
Dachshund,Small,Male,10.0,Neutered,Low,3.0,12.0,2.0,2.0,8.76,Senior
Australian Shepherd,Unknown,Female,12.0,Neutered,Unknown,6.0,10.0,2.0,1.0,26.76,Senior
Poodle,Small,Female,9.0,Neutered,Low,4.0,13.0,2.0,0.0,14.06,Senior
Great Dane,Large,Male,2.0,Unknown,Unknown,1.0,11.0,0.0,1.0,79.83,Young Adult
Yorkshire Terrier,Small,Female,2.0,Neutered,Low,3.0,9.0,1.0,0.0,3.52,Young Adult
Golden Retriever,Large,Male,4.0,Unknown,Active,5.0,12.0,2.0,2.0,29.03,Young Adult
Poodle,Small,Female,9.0,Unknown,Active,1.0,10.0,2.0,0.0,27.67,Senior
Siberian Husky,Medium,Female,8.0,Neutered,Active,3.0,13.0,2.0,1.0,22.23,Senior
Poodle,Small,Female,7.0,Unknown,Unknown,1.0,12.0,1.0,1.0,15.42,Adult
Labrador Retriever,Large,Female,8.0,Spayed,Unknown,3.0,11.0,2.0,1.0,27.22,Senior
German Shepherd,Large,Female,2.0,Spayed,Moderate,2.0,11.0,1.0,4.0,34.93,Young Adult
Labrador Retriever,Large,Female,6.0,Spayed,Low,2.0,10.0,1.0,2.0,28.12,Adult
Poodle,Small,Male,7.0,Neutered,Unknown,2.0,10.0,2.0,3.0,29.94,Adult
Doberman,Large,Male,8.0,Neutered,Low,3.0,12.0,2.0,3.0,37.99,Senior
Labrador Retriever,Large,Female,4.0,Neutered,Very Active,3.0,13.0,0.0,2.0,31.12,Young Adult
Yorkshire Terrier,Small,Male,11.0,Spayed,Low,3.0,12.0,1.0,0.0,3.42,Senior
Boxer,Medium,Male,5.0,Neutered,Active,2.0,12.0,3.0,3.0,31.99,Adult
Golden Retriever,Large,Female,5.0,Spayed,Moderate,2.0,10.0,2.0,1.0,32.21,Adult
Boxer,Medium,Unknown,10.0,Unknown,Very Active,5.0,11.0,3.0,2.0,30.34,Senior
Dachshund,Small,Female,10.0,Spayed,Moderate,1.0,12.0,2.0,4.0,4.92,Senior
Golden Retriever,Large,Female,9.0,Neutered,Unknown,2.0,11.0,1.0,1.0,33.72,Senior
Beagle,Small,Female,6.0,Spayed,Moderate,3.0,12.0,2.0,0.0,14.81,Adult
