ID,Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy,Weight (kg)
1,Australian Shepherd,Medium,Male,3.0,Neutered,,,Wellness,5.0,No,Yes,No,12.0,1.0,Active,1.0,30.0,Yes,Yes,27.22
2,Dachshund,,Female,4.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,No,No,11.0,3.0,,0.0,47.0,Yes,,25.85
3,Chihuahua,Small,Female,12.0,Neutered,Active,Home cooked,Special,1.0,Yes,No,No,10.0,1.0,Low,0.0,92.0,Yes,Yes,30.39
4,Siberian Husky,Medium,Male,13.0,,Very Active,,Special,4.0,No,No,No,12.0,,,1.0,75.0,Yes,Yes,15.88
5,Boxer,Medium,Male,13.0,,Very Active,Wet food,Purina,3.0,Yes,Yes,No,9.0,1.0,,0.0,64.0,Yes,No,15.88
6,Australian Shepherd,Medium,Female,2.0,,Very Active,Wet food,Iams,0.0,Yes,No,No,11.0,3.0,,2.0,85.0,Yes,Yes,19.05
7,Labrador Retriever,,Male,8.0,,,Special diet,Blue Buffalo,2.0,No,No,No,8.0,1.0,Low,0.0,53.0,Yes,Yes,
8,Boxer,Medium,Female,11.0,Neutered,,Home cooked,Special,2.0,No,Yes,Yes,9.0,2.0,Low,2.0,85.0,,No,29.94
9,Australian Shepherd,Medium,Male,12.0,Neutered,Moderate,Special diet,Royal Canin,2.0,Yes,Yes,No,11.0,2.0,Moderate,0.0,65.0,Yes,No,12.7
10,Bulldog,Medium,Female,11.0,Neutered,,Wet food,Wellness,3.0,No,Yes,No,11.0,,,0.0,38.0,Yes,No,22.23
11,Rottweiler,Large,Male,2.0,Spayed,Very Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,11.0,2.0,Active,1.0,87.0,Yes,Yes,29.03
12,Siberian Husky,Medium,Female,,Neutered,Low,Hard food,Blue Buffalo,2.0,Yes,Yes,No,13.0,3.0,Active,1.0,78.0,Yes,No,9.07
13,Boxer,Medium,Male,5.0,Neutered,Low,Special diet,Wellness,2.0,Yes,Yes,No,10.0,1.0,,1.0,37.0,Yes,,14.97
14,German Shepherd,Large,Female,10.0,Spayed,,Hard food,Royal Canin,3.0,Yes,No,No,10.0,,Low,1.0,90.0,Yes,Yes,25.4
15,Golden Retriever,Large,Male,8.0,Spayed,Low,Home cooked,Special,2.0,Yes,No,No,10.0,0.0,Moderate,0.0,42.0,Yes,,30.39
16,Poodle,Small,Male,13.0,Spayed,Very Active,Hard food,Wellness,3.0,No,No,Yes,8.0,2.0,,4.0,54.0,Yes,Yes,21.77
17,Doberman,Large,Male,4.0,Spayed,Very Active,Hard food,Royal Canin,2.0,No,No,No,11.0,1.0,,1.0,77.0,Yes,Yes,29.94
18,Boxer,Medium,Female,2.0,Spayed,Active,Special diet,Nutro,2.0,No,Yes,No,8.0,2.0,Moderate,1.0,48.0,Yes,Yes,20.87
19,Bulldog,Medium,Female,11.0,,Low,Special diet,Purina,3.0,No,No,No,13.0,2.0,Active,0.0,70.0,Yes,No,39.46
20,Great Dane,Large,Female,11.0,,,Hard food,Purina,4.0,Yes,No,No,10.0,1.0,Active,0.0,63.0,Yes,No,19.96
21,Poodle,Small,Female,7.0,Neutered,Very Active,,Wellness,,Yes,No,No,11.0,0.0,Active,2.0,70.0,Yes,Yes,20.87
22,Chihuahua,Small,Male,3.0,,,Special diet,Iams,3.0,No,Yes,No,12.0,1.0,Very Active,1.0,82.0,Yes,Yes,11.79
23,German Shepherd,Large,Female,11.0,Spayed,Very Active,Wet food,Purina,1.0,Yes,No,No,12.0,1.0,Moderate,1.0,100.0,Yes,Yes,17.24
24,Bulldog,Medium,Male,9.0,Neutered,,Special diet,Wellness,3.0,No,No,No,12.0,1.0,Very Active,,74.0,Yes,Yes,29.48
25,Great Dane,Large,Male,6.0,,Low,Special diet,Blue Buffalo,1.0,Yes,Yes,No,8.0,,Moderate,1.0,74.0,Yes,Yes,29.48
26,Chihuahua,Small,Male,10.0,Neutered,Moderate,Wet food,Wellness,3.0,No,Yes,No,8.0,3.0,Moderate,1.0,72.0,Yes,No,6.8
27,Beagle,Small,Male,11.0,Neutered,Active,Special diet,Nutro,4.0,Yes,Yes,No,11.0,1.0,Active,0.0,75.0,Yes,Yes,23.59
28,Poodle,Small,Female,13.0,Neutered,Moderate,Wet food,Pedigree,4.0,No,No,,13.0,2.0,Low,2.0,66.0,Yes,Yes,14.51
29,Siberian Husky,Medium,Female,13.0,,Very Active,Hard food,Hill's Science,5.0,No,No,No,10.0,1.0,Very Active,2.0,54.0,Yes,Yes,11.79
30,Rottweiler,Large,Male,2.0,Neutered,Active,Home cooked,Special,1.0,Yes,Yes,No,14.0,1.0,Moderate,1.0,43.0,Yes,Yes,29.94
31,Poodle,Small,Male,13.0,Neutered,Moderate,Hard food,Iams,0.0,No,,No,10.0,2.0,Active,2.0,61.0,Yes,Yes,
32,German Shepherd,Large,Female,5.0,Neutered,,Special diet,Nutro,4.0,No,No,No,10.0,2.0,Moderate,0.0,61.0,Yes,Yes,28.58
33,Rottweiler,Large,Female,13.0,,,Special diet,Nutro,4.0,No,Yes,No,11.0,1.0,,3.0,33.0,Yes,No,19.5
34,Australian Shepherd,Medium,Male,10.0,Spayed,Very Active,Hard food,Wellness,1.0,No,No,No,10.0,3.0,Very Active,4.0,52.0,Yes,Yes,31.3
35,Australian Shepherd,Medium,Male,8.0,,Low,Special diet,Wellness,3.0,No,No,No,12.0,2.0,Low,2.0,82.0,Yes,Yes,25.4
36,Bulldog,Medium,Male,2.0,Neutered,Active,Wet food,Wellness,2.0,No,Yes,No,9.0,1.0,Active,2.0,70.0,Yes,Yes,26.31
37,Siberian Husky,Medium,Female,4.0,,,Hard food,Purina,2.0,Yes,No,Yes,11.0,0.0,Active,1.0,40.0,Yes,No,31.3
38,Rottweiler,Large,Female,13.0,Neutered,Very Active,Home cooked,Special,0.0,Yes,Yes,No,13.0,1.0,Active,2.0,99.0,Yes,Yes,12.25
39,Golden Retriever,Large,Female,9.0,Spayed,Moderate,Wet food,Purina,3.0,Yes,Yes,No,9.0,2.0,Active,2.0,48.0,Yes,No,29.48
40,Dachshund,Small,Male,10.0,Neutered,Low,Wet food,Wellness,3.0,Yes,No,No,12.0,,Very Active,2.0,93.0,Yes,Yes,23.13
41,Australian Shepherd,,Female,12.0,Neutered,,Home cooked,Special,6.0,No,No,Yes,10.0,2.0,Low,1.0,68.0,Yes,Yes,26.76
42,Poodle,Small,Female,9.0,Neutered,Low,Special diet,Pedigree,4.0,No,No,No,13.0,2.0,Moderate,0.0,55.0,Yes,Yes,14.06
43,Bulldog,Medium,,12.0,Spayed,Moderate,Wet food,Wellness,3.0,Yes,Yes,No,12.0,3.0,Very Active,0.0,,Yes,No,14.97
44,Great Dane,Large,Male,2.0,,,Hard food,Wellness,1.0,No,No,No,11.0,0.0,Moderate,1.0,67.0,Yes,Yes,31.3
45,Yorkshire Terrier,Small,Female,2.0,Neutered,Low,Hard food,Wellness,3.0,No,No,No,9.0,1.0,,0.0,74.0,Yes,Yes,20.41
46,Golden Retriever,Large,Male,4.0,,Active,Wet food,Royal Canin,5.0,No,No,No,12.0,,Moderate,2.0,69.0,Yes,Yes,29.03
47,Chihuahua,Small,Female,13.0,,Low,Wet food,Blue Buffalo,0.0,Yes,No,No,13.0,1.0,Very Active,0.0,54.0,Yes,No,4.54
48,Great Dane,Large,Female,12.0,Spayed,Moderate,Hard food,Blue Buffalo,3.0,Yes,No,No,10.0,1.0,,0.0,56.0,Yes,No,18.6
49,Rottweiler,Large,,,Spayed,,Wet food,Pedigree,4.0,No,No,No,12.0,0.0,,0.0,49.0,Yes,No,21.77
50,Poodle,Small,Female,9.0,,Active,Special diet,Nutro,1.0,No,No,No,10.0,2.0,,0.0,47.0,Yes,Yes,27.67
51,Siberian Husky,Medium,Female,8.0,Neutered,Active,Wet food,Hill's Science,3.0,No,No,No,13.0,2.0,Low,1.0,80.0,Yes,Yes,22.23
52,Rottweiler,Large,Female,11.0,Spayed,Moderate,Hard food,Iams,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,40.0,Yes,No,26.76
53,German Shepherd,Large,Female,5.0,,Moderate,Wet food,Hill's Science,3.0,No,Yes,No,10.0,3.0,Active,3.0,75.0,Yes,No,20.87
54,Poodle,Small,Female,7.0,,,Special diet,Wellness,1.0,Yes,Yes,No,12.0,1.0,,1.0,73.0,Yes,Yes,15.42
55,Boxer,Medium,Female,12.0,Spayed,,Wet food,Nutro,4.0,No,Yes,Yes,12.0,3.0,Active,1.0,74.0,Yes,No,20.41
56,German Shepherd,Large,Female,4.0,Neutered,Low,Home cooked,Special,6.0,No,Yes,No,10.0,1.0,,3.0,67.0,Yes,,11.79
57,Labrador Retriever,Large,Female,8.0,Spayed,,Wet food,Iams,3.0,No,Yes,No,11.0,2.0,,1.0,43.0,Yes,Yes,27.22
58,German Shepherd,Large,Female,2.0,Spayed,Moderate,Hard food,Iams,2.0,No,No,,11.0,1.0,,4.0,45.0,Yes,Yes,34.93
59,Labrador Retriever,Large,Female,6.0,Spayed,Low,Hard food,Wellness,2.0,No,No,No,10.0,1.0,Moderate,2.0,64.0,Yes,Yes,28.12
60,Poodle,Small,Male,7.0,Neutered,,Wet food,Hill's Science,2.0,Yes,No,No,10.0,,,3.0,50.0,Yes,Yes,29.94
61,Doberman,Large,Male,8.0,Neutered,Low,Special diet,Purina,3.0,Yes,No,No,12.0,2.0,Moderate,3.0,64.0,Yes,Yes,19.05
62,Bulldog,Medium,Male,12.0,Neutered,Moderate,Wet food,Iams,0.0,Yes,No,Yes,9.0,1.0,Very Active,1.0,68.0,Yes,No,28.12
63,Golden Retriever,Large,Male,1.0,Spayed,Active,Wet food,Blue Buffalo,2.0,No,Yes,No,12.0,0.0,,0.0,44.0,Yes,No,34.02
64,Labrador Retriever,Large,Female,4.0,Neutered,Very Active,Hard food,Purina,3.0,No,No,No,13.0,0.0,Active,2.0,57.0,,Yes,18.14
65,Australian Shepherd,,Male,8.0,,,Hard food,Blue Buffalo,3.0,Yes,No,No,10.0,3.0,Very Active,0.0,54.0,Yes,No,28.58
66,Beagle,Small,Female,13.0,,Active,Wet food,Purina,4.0,No,No,No,12.0,1.0,Active,0.0,69.0,Yes,No,18.6
67,Yorkshire Terrier,Small,Male,11.0,Spayed,Low,,Iams,3.0,No,No,No,12.0,1.0,,0.0,55.0,Yes,Yes,28.58
68,Boxer,Medium,Male,5.0,Neutered,Active,Hard food,Royal Canin,2.0,Yes,No,No,12.0,3.0,Active,3.0,35.0,Yes,Yes,17.24
69,Labrador Retriever,Large,Male,10.0,,Low,Home cooked,Special,2.0,No,Yes,Yes,10.0,2.0,Low,3.0,50.0,Yes,No,23.59
70,Golden Retriever,Large,Female,5.0,Spayed,Moderate,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,1.0,,Yes,Yes,32.21
71,Beagle,Small,Male,9.0,Neutered,Moderate,Hard food,Purina,2.0,Yes,Yes,,11.0,0.0,Active,4.0,59.0,Yes,No,13.61
72,Golden Retriever,Large,Male,1.0,,,Hard food,Royal Canin,6.0,Yes,Yes,No,14.0,1.0,Active,1.0,64.0,Yes,No,15.88
73,Boxer,Medium,,10.0,,Very Active,Special diet,Royal Canin,5.0,Yes,Yes,No,11.0,3.0,Active,2.0,78.0,Yes,Yes,18.6
74,Doberman,Large,Female,9.0,,Moderate,Special diet,Blue Buffalo,2.0,No,Yes,No,9.0,2.0,Active,1.0,75.0,Yes,No,23.13
75,Dachshund,Small,Female,13.0,Neutered,Low,,Wellness,4.0,Yes,Yes,No,12.0,2.0,,0.0,68.0,Yes,No,28.12
76,Dachshund,Small,Female,10.0,Spayed,Moderate,Home cooked,Special,1.0,Yes,Yes,No,12.0,2.0,,4.0,53.0,Yes,Yes,24.95
77,Golden Retriever,Large,Female,9.0,Neutered,,Home cooked,Special,2.0,,No,No,11.0,1.0,,1.0,79.0,Yes,Yes,
78,Australian Shepherd,Medium,Female,13.0,Spayed,Low,Home cooked,Special,2.0,No,Yes,No,13.0,1.0,Very Active,0.0,78.0,Yes,No,38.1
79,Yorkshire Terrier,,Female,13.0,Neutered,,Special diet,Wellness,2.0,Yes,Yes,No,12.0,1.0,Moderate,3.0,,Yes,No,6.35
80,Beagle,Small,Female,6.0,Spayed,Moderate,Wet food,,,No,No,No,12.0,2.0,,0.0,86.0,Yes,Yes,25.4
81,Yorkshire Terrier,Small,,2.0,Spayed,,Hard food,Nutro,1.0,No,Yes,No,10.0,3.0,Very Active,3.0,66.0,Yes,Yes,13.15
82,Bulldog,Medium,Male,11.0,Spayed,Moderate,Home cooked,Special,2.0,,No,Yes,9.0,3.0,Low,3.0,66.0,Yes,Yes,15.42
83,Boxer,Medium,Male,9.0,,Very Active,Home cooked,Special,3.0,No,Yes,No,12.0,1.0,Moderate,1.0,53.0,Yes,Yes,25.85
84,Rottweiler,Large,Male,11.0,Neutered,Very Active,Special diet,Iams,5.0,Yes,No,No,14.0,1.0,Moderate,1.0,75.0,Yes,Yes,32.21
85,Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,Home cooked,Special,2.0,Yes,No,No,10.0,2.0,Low,0.0,84.0,Yes,Yes,33.11
86,Great Dane,,Female,,Spayed,Low,Special diet,Nutro,3.0,Yes,Yes,Yes,10.0,3.0,,1.0,42.0,Yes,No,25.85
87,Dachshund,,Male,7.0,Spayed,Very Active,Home cooked,Special,2.0,Yes,Yes,No,11.0,0.0,Very Active,1.0,53.0,Yes,Yes,41.28
88,Poodle,Small,Male,1.0,,Active,Wet food,Blue Buffalo,3.0,Yes,No,No,11.0,2.0,Moderate,2.0,78.0,Yes,Yes,13.61
89,Dachshund,Small,Male,9.0,Neutered,,Home cooked,Special,3.0,Yes,Yes,No,9.0,1.0,Low,1.0,98.0,Yes,No,9.98
90,Chihuahua,Small,Male,2.0,,Very Active,Home cooked,Special,1.0,Yes,No,No,13.0,1.0,Low,1.0,38.0,Yes,,22.23
91,Australian Shepherd,Medium,Female,12.0,,Very Active,Special diet,Royal Canin,2.0,No,Yes,No,10.0,2.0,Active,1.0,92.0,Yes,Yes,19.5
92,Poodle,Small,Male,1.0,Spayed,Low,Wet food,Hill's Science,5.0,Yes,No,No,12.0,0.0,Active,0.0,66.0,Yes,No,21.77
93,Siberian Husky,Medium,Female,4.0,Neutered,Low,Home cooked,Special,2.0,Yes,Yes,No,10.0,3.0,Low,2.0,87.0,Yes,,24.49
94,Golden Retriever,Large,Male,2.0,,Low,Wet food,Pedigree,2.0,Yes,Yes,No,14.0,0.0,Moderate,1.0,58.0,Yes,Yes,19.5
95,Australian Shepherd,Medium,Male,3.0,Neutered,,Wet food,Purina,3.0,Yes,No,No,8.0,3.0,Active,2.0,76.0,Yes,Yes,34.47
96,Australian Shepherd,Medium,Female,,Neutered,Moderate,Special diet,Wellness,5.0,Yes,No,No,14.0,0.0,Active,3.0,58.0,Yes,Yes,24.04
97,Rottweiler,Large,Female,3.0,Neutered,,Wet food,Royal Canin,4.0,No,No,No,10.0,1.0,Very Active,0.0,77.0,Yes,Yes,14.51
98,German Shepherd,Large,Female,10.0,Neutered,Very Active,Wet food,Hill's Science,3.0,No,No,No,11.0,2.0,Moderate,2.0,79.0,Yes,Yes,16.78
99,Australian Shepherd,Medium,Female,4.0,Neutered,Active,Special diet,Iams,3.0,Yes,No,No,9.0,0.0,,1.0,36.0,,Yes,25.4
100,Chihuahua,Small,Female,9.0,Neutered,Low,Special diet,Purina,0.0,Yes,Yes,No,13.0,3.0,Low,1.0,31.0,Yes,Yes,34.47
101,Siberian Husky,Medium,Male,3.0,Spayed,,Special diet,Blue Buffalo,2.0,Yes,Yes,No,10.0,2.0,Low,1.0,65.0,Yes,Yes,14.97
102,Poodle,Small,Male,5.0,Spayed,Low,Wet food,Purina,4.0,No,Yes,No,10.0,1.0,,1.0,37.0,Yes,Yes,14.97
103,Boxer,Medium,Male,5.0,,Moderate,Home cooked,Special,4.0,No,Yes,No,12.0,2.0,,2.0,50.0,Yes,Yes,17.24
104,Yorkshire Terrier,Small,Male,12.0,,Low,Special diet,Purina,2.0,Yes,No,No,11.0,4.0,Active,1.0,78.0,Yes,Yes,18.14
105,Doberman,Large,Male,10.0,,Very Active,Special diet,,3.0,Yes,Yes,No,,3.0,,1.0,39.0,Yes,Yes,24.49
106,Golden Retriever,Large,Female,2.0,Neutered,Low,Special diet,Blue Buffalo,1.0,No,Yes,Yes,9.0,0.0,Very Active,0.0,50.0,Yes,No,29.48
107,,Medium,Male,7.0,,Active,Special diet,Iams,5.0,No,No,No,11.0,2.0,Low,0.0,53.0,Yes,Yes,
108,Labrador Retriever,Large,Male,2.0,Neutered,Active,Home cooked,Special,0.0,No,Yes,,10.0,1.0,Low,1.0,70.0,Yes,Yes,25.85
109,Bulldog,Medium,Female,8.0,Neutered,Moderate,Hard food,Pedigree,2.0,Yes,No,No,9.0,1.0,,2.0,77.0,Yes,Yes,17.24
110,Siberian Husky,Medium,Male,7.0,Spayed,Very Active,Special diet,Purina,3.0,No,Yes,No,12.0,1.0,Very Active,2.0,60.0,Yes,Yes,17.69
111,Chihuahua,Small,Female,8.0,Neutered,Moderate,Wet food,Royal Canin,2.0,,No,No,12.0,2.0,Very Active,0.0,94.0,Yes,Yes,20.41
112,Siberian Husky,Medium,Male,1.0,Neutered,Active,Wet food,Wellness,1.0,No,No,No,12.0,2.0,Moderate,1.0,69.0,Yes,Yes,27.67
113,Australian Shepherd,Medium,Male,5.0,Neutered,,Special diet,Purina,5.0,No,Yes,No,12.0,0.0,Active,4.0,82.0,Yes,Yes,19.5
114,Yorkshire Terrier,Small,Female,8.0,,Moderate,Special diet,Royal Canin,2.0,Yes,Yes,No,11.0,3.0,,1.0,55.0,Yes,No,41.73
115,Doberman,Large,Female,9.0,Spayed,,Hard food,,2.0,Yes,No,No,13.0,0.0,Very Active,1.0,58.0,Yes,Yes,
116,Bulldog,Medium,Female,9.0,Spayed,Very Active,Home cooked,Special,3.0,No,Yes,No,13.0,1.0,Active,2.0,100.0,Yes,Yes,11.34
117,Great Dane,Large,Female,11.0,Spayed,Active,Home cooked,Special,1.0,No,No,No,12.0,1.0,Very Active,2.0,75.0,Yes,Yes,27.22
118,Poodle,Small,Male,8.0,Neutered,Active,Home cooked,Special,1.0,No,Yes,No,13.0,2.0,,0.0,72.0,Yes,Yes,29.94
119,Doberman,Large,Male,12.0,Neutered,Low,Home cooked,Special,3.0,No,Yes,No,13.0,2.0,,0.0,51.0,Yes,No,15.42
120,German Shepherd,Large,Male,,,Low,Hard food,Royal Canin,3.0,Yes,,No,9.0,1.0,,0.0,76.0,Yes,No,25.4
121,Beagle,Small,Male,6.0,Spayed,Low,Home cooked,Special,2.0,Yes,No,Yes,9.0,2.0,Low,1.0,100.0,,Yes,28.58
122,Doberman,,Male,7.0,Neutered,Low,Home cooked,Special,2.0,No,No,No,10.0,2.0,Moderate,4.0,72.0,Yes,Yes,17.69
123,Labrador Retriever,Large,Female,13.0,Neutered,,Home cooked,Special,2.0,Yes,Yes,,10.0,2.0,Low,1.0,88.0,Yes,Yes,4.54
124,Yorkshire Terrier,Small,Female,1.0,,Very Active,Special diet,Hill's Science,3.0,No,Yes,No,11.0,0.0,Low,,66.0,Yes,Yes,18.6
125,Beagle,Small,Male,,Neutered,Moderate,,Blue Buffalo,2.0,No,No,No,14.0,1.0,Very Active,0.0,75.0,Yes,Yes,13.15
126,Yorkshire Terrier,Small,Female,10.0,Spayed,,Special diet,Royal Canin,4.0,Yes,Yes,No,13.0,3.0,Low,3.0,66.0,Yes,Yes,23.13
127,Golden Retriever,Large,Male,9.0,Spayed,Moderate,Special diet,Nutro,3.0,No,Yes,Yes,10.0,1.0,Low,0.0,44.0,Yes,No,27.22
128,Siberian Husky,Medium,,8.0,,Active,Home cooked,Special,2.0,No,Yes,No,,1.0,,2.0,54.0,Yes,Yes,26.31
129,Boxer,Medium,Male,4.0,Neutered,Moderate,Hard food,Wellness,4.0,No,Yes,No,12.0,3.0,Very Active,2.0,53.0,Yes,Yes,28.58
130,Dachshund,Small,Female,6.0,,Very Active,Wet food,Pedigree,4.0,No,Yes,No,11.0,0.0,Active,1.0,77.0,Yes,,16.78
131,Labrador Retriever,Large,Male,10.0,,Active,Hard food,Pedigree,3.0,No,Yes,No,9.0,1.0,,4.0,75.0,Yes,No,35.83
132,Siberian Husky,Medium,Male,4.0,Neutered,Low,Hard food,Hill's Science,3.0,No,Yes,No,12.0,0.0,,1.0,56.0,Yes,Yes,16.33
133,Labrador Retriever,Large,Male,4.0,Spayed,Active,Hard food,Purina,3.0,No,Yes,No,9.0,2.0,Moderate,1.0,67.0,Yes,Yes,9.07
134,Golden Retriever,Large,Male,,,,Special diet,Pedigree,3.0,No,Yes,No,8.0,2.0,Low,0.0,75.0,Yes,No,11.79
135,Yorkshire Terrier,Small,Female,9.0,Neutered,Moderate,Special diet,Purina,2.0,Yes,No,No,11.0,,Active,3.0,59.0,Yes,Yes,22.68
136,,Large,Female,6.0,Neutered,Moderate,Special diet,Nutro,1.0,Yes,No,No,9.0,1.0,Very Active,0.0,55.0,Yes,Yes,22.68
137,Siberian Husky,Medium,Male,4.0,,Moderate,Home cooked,Special,1.0,Yes,No,No,10.0,2.0,,0.0,42.0,Yes,Yes,12.25
138,Chihuahua,Small,Male,4.0,Spayed,Active,Wet food,Purina,0.0,No,No,No,12.0,1.0,Moderate,0.0,67.0,Yes,Yes,24.95
139,Poodle,Small,Female,3.0,Neutered,Very Active,,Nutro,2.0,Yes,No,No,12.0,1.0,Moderate,1.0,60.0,Yes,Yes,23.13
140,Labrador Retriever,Large,Male,4.0,Spayed,Active,Hard food,Purina,2.0,No,No,No,13.0,1.0,,1.0,63.0,Yes,Yes,19.5
141,German Shepherd,Large,Female,10.0,,Active,Special diet,Pedigree,4.0,No,No,,9.0,3.0,Low,0.0,58.0,Yes,Yes,22.68
142,Beagle,Small,Male,4.0,Neutered,,Hard food,Blue Buffalo,3.0,No,No,No,,2.0,Moderate,1.0,68.0,Yes,Yes,28.12
143,Yorkshire Terrier,Small,Male,,Spayed,,Wet food,Pedigree,1.0,No,Yes,No,12.0,1.0,,1.0,46.0,Yes,No,28.12
144,Chihuahua,Small,Male,11.0,,Active,Special diet,Hill's Science,3.0,No,No,No,10.0,2.0,Active,0.0,74.0,Yes,Yes,16.78
145,Golden Retriever,Large,Female,10.0,,Low,Home cooked,Special,6.0,Yes,Yes,No,10.0,1.0,Moderate,0.0,51.0,Yes,No,25.85
146,Siberian Husky,Medium,Male,8.0,Neutered,Moderate,Special diet,Hill's Science,2.0,No,Yes,No,12.0,2.0,Active,0.0,76.0,Yes,Yes,18.6
147,Dachshund,Small,Male,2.0,,,,Purina,0.0,Yes,No,No,13.0,0.0,,1.0,57.0,Yes,Yes,14.97
148,Labrador Retriever,Large,Female,4.0,Spayed,,Special diet,Hill's Science,6.0,Yes,Yes,No,10.0,0.0,Low,1.0,48.0,Yes,Yes,32.21
149,Doberman,Large,Female,3.0,Neutered,Low,Wet food,Hill's Science,3.0,Yes,,No,14.0,0.0,Moderate,2.0,85.0,Yes,Yes,21.32
150,Yorkshire Terrier,Small,Male,3.0,Neutered,,Home cooked,Special,1.0,Yes,Yes,No,10.0,0.0,Very Active,3.0,51.0,Yes,Yes,19.96
151,Rottweiler,Large,Male,10.0,Neutered,Active,Wet food,Royal Canin,0.0,Yes,Yes,No,10.0,0.0,Active,2.0,91.0,Yes,Yes,27.67
152,Chihuahua,Small,,11.0,Spayed,,Hard food,Wellness,1.0,No,Yes,No,10.0,1.0,Active,0.0,53.0,Yes,No,15.42
153,Great Dane,Large,Male,3.0,Neutered,Low,Wet food,Blue Buffalo,5.0,No,No,No,9.0,2.0,Low,2.0,68.0,Yes,Yes,35.38
154,,Large,Female,9.0,,,,Royal Canin,4.0,No,Yes,,10.0,3.0,Very Active,1.0,84.0,Yes,No,21.77
155,Yorkshire Terrier,Small,Female,4.0,Neutered,,,Special,7.0,No,No,Yes,8.0,0.0,Low,2.0,53.0,Yes,Yes,20.41
156,Doberman,Large,Male,9.0,,Active,Home cooked,Special,1.0,Yes,No,No,11.0,2.0,Very Active,3.0,87.0,Yes,Yes,5.44
157,Siberian Husky,Medium,Male,4.0,Neutered,Very Active,Hard food,Iams,3.0,No,No,No,13.0,2.0,Low,2.0,66.0,Yes,Yes,28.12
158,Chihuahua,Small,Male,12.0,Neutered,Moderate,Special diet,Nutro,5.0,Yes,Yes,No,12.0,2.0,Active,0.0,78.0,Yes,No,33.57
159,Labrador Retriever,Large,Female,,Spayed,Active,Hard food,Royal Canin,1.0,No,No,No,10.0,1.0,,4.0,49.0,Yes,Yes,18.14
160,Beagle,Small,Male,11.0,Spayed,Low,Special diet,Pedigree,1.0,Yes,No,No,11.0,3.0,Low,3.0,83.0,Yes,Yes,28.12
161,Australian Shepherd,Medium,Female,7.0,,Low,Wet food,Nutro,5.0,Yes,Yes,No,14.0,2.0,,,43.0,Yes,No,8.62
162,Yorkshire Terrier,Small,Male,8.0,Spayed,,Special diet,Iams,2.0,Yes,Yes,No,11.0,2.0,Low,3.0,64.0,Yes,Yes,22.68
163,Siberian Husky,Medium,Female,7.0,Neutered,Active,Special diet,Wellness,0.0,Yes,No,No,12.0,1.0,Active,3.0,60.0,Yes,Yes,38.1
164,Golden Retriever,Large,Female,10.0,Spayed,Low,Special diet,Hill's Science,1.0,No,No,No,12.0,1.0,,,45.0,Yes,Yes,26.76
165,Dachshund,Small,Female,4.0,Spayed,Very Active,Special diet,Nutro,3.0,Yes,Yes,No,13.0,3.0,Low,2.0,55.0,Yes,Yes,10.43
166,Siberian Husky,Medium,Male,2.0,,Active,Hard food,Iams,2.0,Yes,No,No,10.0,3.0,,0.0,69.0,Yes,Yes,29.94
167,Bulldog,Medium,Female,9.0,Neutered,Moderate,Wet food,Hill's Science,5.0,Yes,No,No,14.0,0.0,Low,0.0,58.0,Yes,No,29.48
168,Poodle,Small,,5.0,Spayed,Very Active,,Royal Canin,2.0,No,No,No,12.0,2.0,Very Active,2.0,64.0,,Yes,14.97
169,Labrador Retriever,Large,Female,13.0,Spayed,Moderate,Home cooked,Special,2.0,No,No,No,12.0,,Low,0.0,79.0,Yes,Yes,26.31
