Breed,Breed Size,Sex,Age,Spay/Neuter Status,Daily Activity Level,Daily Walk Distance (miles),Hours of Sleep,Play Time (hrs),Annual Vet Visits,Weight (kg)
Australian Shepherd,Medium,Male,3.0,Neutered,,5.0,12.0,1.0,1.0,27.22
Chihuahua,Small,Female,12.0,Neutered,Active,1.0,10.0,1.0,0.0,30.39
Siberian Husky,Medium,Male,13.0,,Very Active,4.0,12.0,,1.0,15.88
Australian Shepherd,Medium,Female,2.0,,Very Active,0.0,11.0,3.0,2.0,19.05
Labrador Retriever,,Male,8.0,,,2.0,8.0,1.0,0.0,
Rottweiler,Large,Male,2.0,Spayed,Very Active,3.0,11.0,2.0,1.0,29.03
German Shepherd,Large,Female,10.0,Spayed,,3.0,10.0,,1.0,25.4
Poodle,Small,Male,13.0,Spayed,Very Active,3.0,8.0,2.0,4.0,21.77
Doberman,Large,Male,4.0,Spayed,Very Active,2.0,11.0,1.0,1.0,29.94
Boxer,Medium,Female,2.0,Spayed,Active,2.0,8.0,2.0,1.0,20.87
Poodle,Small,Female,7.0,Neutered,Very Active,,11.0,0.0,2.0,20.87
Chihuahua,Small,Male,3.0,,,3.0,12.0,1.0,1.0,11.79
German Shepherd,Large,Female,11.0,Spayed,Very Active,1.0,12.0,1.0,1.0,17.24
Bulldog,Medium,Male,9.0,Neutered,,3.0,12.0,1.0,,29.48
Great Dane,Large,Male,6.0,,Low,1.0,8.0,,1.0,29.48
Beagle,Small,Male,11.0,Neutered,Active,4.0,11.0,1.0,0.0,23.59
Poodle,Small,Female,13.0,Neutered,Moderate,4.0,13.0,2.0,2.0,14.51
Siberian Husky,Medium,Female,13.0,,Very Active,5.0,10.0,1.0,2.0,11.79
Rottweiler,Large,Male,2.0,Neutered,Active,1.0,14.0,1.0,1.0,29.94
Poodle,Small,Male,13.0,Neutered,Moderate,0.0,10.0,2.0,2.0,
German Shepherd,Large,Female,5.0,Neutered,,4.0,10.0,2.0,0.0,28.58
Australian Shepherd,Medium,Male,10.0,Spayed,Very Active,1.0,10.0,3.0,4.0,31.3
Australian Shepherd,Medium,Male,8.0,,Low,3.0,12.0,2.0,2.0,25.4
Bulldog,Medium,Male,2.0,Neutered,Active,2.0,9.0,1.0,2.0,26.31
Rottweiler,Large,Female,13.0,Neutered,Very Active,0.0,13.0,1.0,2.0,12.25
Dachshund,Small,Male,10.0,Neutered,Low,3.0,12.0,,2.0,23.13
Australian Shepherd,,Female,12.0,Neutered,,6.0,10.0,2.0,1.0,26.76
Poodle,Small,Female,9.0,Neutered,Low,4.0,13.0,2.0,0.0,14.06
Great Dane,Large,Male,2.0,,,1.0,11.0,0.0,1.0,31.3
Yorkshire Terrier,Small,Female,2.0,Neutered,Low,3.0,9.0,1.0,0.0,20.41
Golden Retriever,Large,Male,4.0,,Active,5.0,12.0,,2.0,29.03
Poodle,Small,Female,9.0,,Active,1.0,10.0,2.0,0.0,27.67
Siberian Husky,Medium,Female,8.0,Neutered,Active,3.0,13.0,2.0,1.0,22.23
Poodle,Small,Female,7.0,,,1.0,12.0,1.0,1.0,15.42
Labrador Retriever,Large,Female,8.0,Spayed,,3.0,11.0,2.0,1.0,27.22
German Shepherd,Large,Female,2.0,Spayed,Moderate,2.0,11.0,1.0,4.0,34.93
Labrador Retriever,Large,Female,6.0,Spayed,Low,2.0,10.0,1.0,2.0,28.12
Poodle,Small,Male,7.0,Neutered,,2.0,10.0,,3.0,29.94
Doberman,Large,Male,8.0,Neutered,Low,3.0,12.0,2.0,3.0,19.05
Labrador Retriever,Large,Female,4.0,Neutered,Very Active,3.0,13.0,0.0,2.0,18.14
Yorkshire Terrier,Small,Male,11.0,Spayed,Low,3.0,12.0,1.0,0.0,28.58
Boxer,Medium,Male,5.0,Neutered,Active,2.0,12.0,3.0,3.0,17.24
Golden Retriever,Large,Female,5.0,Spayed,Moderate,2.0,10.0,2.0,1.0,32.21
Boxer,Medium,,10.0,,Very Active,5.0,11.0,3.0,2.0,18.6
Dachshund,Small,Female,10.0,Spayed,Moderate,1.0,12.0,2.0,4.0,24.95
Golden Retriever,Large,Female,9.0,Neutered,,2.0,11.0,1.0,1.0,
Beagle,Small,Female,6.0,Spayed,Moderate,,12.0,2.0,0.0,25.4
Yorkshire Terrier,Small,,2.0,Spayed,,1.0,10.0,3.0,3.0,13.15
Bulldog,Medium,Male,11.0,Spayed,Moderate,2.0,9.0,3.0,3.0,15.42
Boxer,Medium,Male,9.0,,Very Active,3.0,12.0,1.0,1.0,25.85
Rottweiler,Large,Male,11.0,Neutered,Very Active,5.0,14.0,1.0,1.0,32.21
Yorkshire Terrier,Small,Male,12.0,Neutered,Very Active,2.0,10.0,2.0,0.0,33.11
Dachshund,,Male,7.0,Spayed,Very Active,2.0,11.0,0.0,1.0,41.28
Poodle,Small,Male,1.0,,Active,3.0,11.0,2.0,2.0,13.61
Australian Shepherd,Medium,Female,12.0,,Very Active,2.0,10.0,2.0,1.0,19.5
Golden Retriever,Large,Male,2.0,,Low,2.0,14.0,0.0,1.0,19.5
Australian Shepherd,Medium,Male,3.0,Neutered,,3.0,8.0,3.0,2.0,34.47
Australian Shepherd,Medium,Female,,Neutered,Moderate,5.0,14.0,0.0,3.0,24.04
Rottweiler,Large,Female,3.0,Neutered,,4.0,10.0,1.0,0.0,14.51
German Shepherd,Large,Female,10.0,Neutered,Very Active,3.0,11.0,2.0,2.0,16.78
Australian Shepherd,Medium,Female,4.0,Neutered,Active,3.0,9.0,0.0,1.0,25.4
Chihuahua,Small,Female,9.0,Neutered,Low,0.0,13.0,3.0,1.0,34.47
